student_id,cluster_name,predicted_risk_level,predicted_success_proba,mean_weekly_engagement,attendance_rate,gpa_sem1,country_home,subject_field
S101301,Elite Performers,Low Risk,0.9576934631004651,0.8149070081003562,0.8274757328084914,0.992154245035082,Spain,Computer Science
S100944,Elite Performers,Low Risk,0.9974052217694624,1.3725754877420195,1.2789728822596027,1.2181197946846136,Germany,Information Systems
S0268,Elite Performers,Low Risk,0.9552498960678967,1.0856935347835899,0.9782887093799147,-1.4371205291241138,France,Social Sciences
S101318,Elite Performers,Low Risk,0.9943329091393707,1.0188305566260392,1.092484929225448,1.3135274712033047,Canada,Humanities
S100674,Elite Performers,Low Risk,0.9629552558979161,0.5069408327758558,0.5281134924115596,0.6205664522780737,Spain,Business
S100535,Elite Performers,Low Risk,0.9995163083150689,1.701350188426284,1.6175957443479354,1.9211237269276022,India,Computer Science
S100765,Elite Performers,Low Risk,0.9279671256311826,0.37376627047336886,0.4103316273373566,0.43979401255844797,India,Computer Science
S100413,Elite Performers,Low Risk,0.8921953766699149,0.14071078644401724,0.21402851888035176,0.3745150759930277,India,Medicine
S100620,Elite Performers,Low Risk,0.9683763420447788,0.21562147773916565,0.2827346068403035,0.8515534585864842,India,Humanities
S100070,Elite Performers,Low Risk,0.9186090067313257,0.49445571755999757,0.5722816918143856,0.5251587757593823,Italy,Medicine
S100351,Elite Performers,Low Risk,0.9903857228460686,1.0021837363382284,1.0777621960911725,1.0373473549649883,Vietnam,Social Sciences
S100599,Elite Performers,Low Risk,0.9937754800748321,0.964728390690654,0.9943333749969455,1.0976048348715297,Kenya,Engineering
S0175,Elite Performers,Low Risk,0.9272700929809342,0.9947201639448968,0.8334809272157825,-1.3232921091811762,Nigeria,Social Sciences
S100986,Elite Performers,Low Risk,0.9215252135650653,0.47780889727218673,0.5281134924115596,0.2489786595210655,Spain,Business
S100109,Elite Performers,Low Risk,0.9891020627917037,1.468294704396932,1.4605532575823315,0.12344224304910326,Germany,Humanities
S100526,Elite Performers,Low Risk,0.9781318663249654,1.0188305566260392,1.1023000846482982,0.5753733423481674,Nigeria,Engineering
S101202,Elite Performers,Low Risk,0.9993168636178262,1.7512906492897162,1.59305785579081,1.2432270779790064,Bangladesh,Computer Science
S100483,Elite Performers,Low Risk,0.9858378871812469,1.0021837363382284,1.0385015743997716,0.821424718633213,Latvia,Medicine
S100029,Elite Performers,Low Risk,0.9555324610251021,0.3696045654014161,0.41523920504878176,0.9017680251752689,Germany,Medicine
S101176,Elite Performers,Low Risk,0.9886077824130466,1.1728136442882897,1.097392506936873,0.9268753084696613,Spain,Social Sciences
S101345,Elite Performers,Low Risk,0.9324949169730362,0.11990226108425367,0.12078454236327446,0.4448154692173264,Bangladesh,Information Systems
S0194,Elite Performers,Low Risk,0.9853643839579177,1.3387160835770344,1.234580846064061,-1.320704660704848,United Kingdom,Social Sciences
S100322,Elite Performers,Low Risk,0.8998336872966555,0.0990937357244901,0.03735572126904794,0.3694936193341493,Nigeria,Business
S101394,Elite Performers,Low Risk,0.9841593785765115,0.48613230741609215,0.5182983369887093,1.3888493210864823,USA,Information Systems
S100567,Elite Performers,Low Risk,0.988103552439866,0.7982601878125454,0.8274757328084914,1.208076881366857,Latvia,Social Sciences
S101277,Elite Performers,Low Risk,0.994238350980637,1.4225159486054522,1.4163850581795054,0.5502660590537746,Germany,Engineering
S101058,Elite Performers,Low Risk,0.8453064343249842,-0.275459720751254,-0.25219136370503425,0.6808239321846157,Canada,Medicine
S0039,Elite Performers,Low Risk,0.9646973108443776,1.031806331703398,1.0913875288399408,-1.0917502683994909,Kenya,Medicine
S100841,Elite Performers,Low Risk,0.9973742601886192,1.4433244739652158,1.3182335039510036,1.1528408581191938,Bangladesh,Humanities
S100115,Elite Performers,Low Risk,0.9750014620266985,1.1353582986407154,1.131745550916849,0.6758024755257368,Vietnam,Business
S100532,Elite Performers,Low Risk,0.9976343610803962,1.4433244739652158,1.4212926358909306,1.0222829849883532,Kenya,Humanities
S100712,Elite Performers,Low Risk,0.9994531907168342,1.738805534073858,1.5783351226565345,1.6248577840537715,USA,Information Systems
S100188,Elite Performers,Low Risk,0.9705991450490903,0.8357155334601197,0.9354424424598441,0.5954591689836813,South Korea,Engineering
S100576,Elite Performers,Low Risk,0.9931203671330875,1.2019455797919587,1.1464682840511242,0.5251587757593823,Bangladesh,Humanities
S100220,Elite Performers,Low Risk,0.9898843204767322,0.8981411095394105,0.9747030641512451,0.7209955854556436,Brazil,Humanities
S101422,Elite Performers,Low Risk,0.8984304672260751,0.01169792921348308,-0.0166276335566284,0.39962235928742007,Kenya,Computer Science
S0081,Elite Performers,Low Risk,0.9032353472240867,0.8009279011772316,0.8374451504941495,-1.272364707518809,Pakistan,Business
S0218,Elite Performers,Low Risk,0.9596247067963583,1.2226346451983066,1.0754162713209454,-1.317229181120122,Italy,Medicine
S100874,Elite Performers,Low Risk,0.9986979474591121,1.7720991746494799,1.6175957443479354,0.9720684183995676,Germany,Information Systems
S101057,Elite Performers,Low Risk,0.9970288792299599,1.197783874720006,1.2397122605682016,1.3687634944509686,Latvia,Computer Science
S101050,Elite Performers,Low Risk,0.9984476864270434,1.717997008714095,1.6126881666365103,0.9017680251752689,South Korea,Social Sciences
S100471,Elite Performers,Low Risk,0.9985077725582349,1.5515288058359864,1.4703684130051817,0.7159741287967648,Sri Lanka,Information Systems
S100818,Elite Performers,Low Risk,0.9861609174619324,1.0562859022736137,1.018871263554071,0.801338891997699,Sri Lanka,Business
S101308,Elite Performers,Low Risk,0.9481071848041545,0.30301728425017266,0.39560889420308126,0.6557166488902233,Sri Lanka,Humanities
S100932,Elite Performers,Low Risk,0.9977077393739159,1.5723373311957498,1.4899987238508823,1.112669204848166,Brazil,Social Sciences
S100332,Elite Performers,Low Risk,0.9119117903494427,0.2822087588904091,0.3219952285317044,0.5251587757593823,Pakistan,Engineering
S101052,Elite Performers,Low Risk,0.9760597811177927,0.9772135059065121,0.9894257972855204,0.3494077926986353,Spain,Information Systems
S0102,Elite Performers,Low Risk,0.9369117410058334,1.001921137339884,0.8221189305009948,-1.350390717995052,Germany,Business
S100485,Elite Performers,Low Risk,0.9995355609458105,1.7096735985701894,1.5390745009651334,1.8206945937500327,Pakistan,Engineering
