student_id,cluster_name,predicted_risk_level,predicted_success_proba,mean_weekly_engagement,attendance_rate,gpa_sem1,country_home,subject_field
S101078,Strong Achievers,Low Risk,0.7409754509283737,-0.05905105700971308,-0.07061098838230474,0.26906448615657946,Germany,Medicine
S100614,Strong Achievers,Low Risk,0.8000488802327945,0.2281065929550238,0.2434739851489025,0.10837787307246767,Nigeria,Social Sciences
S100886,Strong Achievers,Low Risk,0.8301415989161763,-0.009110596146280497,0.00791025500049721,0.7912959786799423,Canada,Business
S100462,Strong Achievers,Medium Risk,0.3344631552716824,-0.3586938221903083,-0.4337717390277637,-0.3887463361565024,Kenya,Medicine
S100774,Strong Achievers,Medium Risk,0.4983696636382197,-0.608396126507471,-0.630074847484768,0.2590215728388227,Sri Lanka,Information Systems
S100162,Strong Achievers,Medium Risk,0.5344096742818175,-0.18390220916829453,-0.15894738718795692,0.37953653265190607,South Korea,Computer Science
S100270,Strong Achievers,Low Risk,0.8309739824084423,0.11574055601230096,0.18949063032322616,0.20378554959115916,Vietnam,Medicine
S101187,Strong Achievers,High Risk,0.230490291935049,-0.88306866125635,-0.9245295101702753,0.7561457820677927,Sri Lanka,Humanities
S100411,Strong Achievers,Medium Risk,0.4224957491080187,-0.5875876011477075,-0.6497051583304685,0.2389357462033087,China,Information Systems
S100701,Strong Achievers,High Risk,0.1926668828810798,-0.7166004583782416,-0.747856712558971,-0.29333865963781136,Canada,Medicine
S101467,Strong Achievers,Medium Risk,0.5245414644867065,0.21562147773916565,0.2680118737060281,-0.5644973192172498,Brazil,Engineering
S100305,Strong Achievers,Low Risk,0.6889654915412989,-0.16309368380853095,-0.08042614380515498,0.08327058977807532,Germany,Medicine
S101469,Strong Achievers,Low Risk,0.88155255157347,0.31966410453798355,0.3318103839545547,0.8264461752920919,Kenya,Medicine
S101325,Strong Achievers,High Risk,0.21236650655192343,-0.7041153431623834,-0.6987809354447198,0.25400011617994384,Spain,Business
S100802,Strong Achievers,Medium Risk,0.48889691381473505,-0.7124387533062889,-0.7135036685789952,0.6205664522780737,Ghana,Humanities
S100582,Strong Achievers,Low Risk,0.7321857551384737,-0.054889351937760365,-0.001904900422353034,0.3694936193341493,Sri Lanka,Social Sciences
S100065,Strong Achievers,Medium Risk,0.3648070096509911,-0.5251620250684167,-0.5319232932562656,0.6055020823014382,Kenya,Business
S100233,Strong Achievers,Low Risk,0.8681699353015817,0.34463433496969986,0.3563482725116803,0.03305602318929061,South Korea,Medicine
S100453,Strong Achievers,High Risk,0.23913805600186844,-0.4211193982695991,-0.3797883842020874,-0.09750184994154999,Spain,Humanities
